"filename", "language", "Rust", "Markdown", "TOML", "YAML", "comment", "blank", "total"
"c:\dev\rust\dvd-term\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 27, 0, 0, 0, 18, 45
"c:\dev\rust\dvd-term\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 1, 0, 1, 2
"c:\dev\rust\dvd-term\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 15, 0, 0, 3, 11, 29
"c:\dev\rust\dvd-term\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 1, 0, 0, 10, 2, 13
"c:\dev\rust\dvd-term\.github\dependabot.yml", "YAML", 0, 0, 0, 12, 3, 1, 16
"c:\dev\rust\dvd-term\.github\workflows\audit.yml", "YAML", 0, 0, 0, 19, 1, 4, 24
"c:\dev\rust\dvd-term\.github\workflows\cd.yml", "YAML", 0, 0, 0, 112, 3, 10, 125
"c:\dev\rust\dvd-term\.github\workflows\ci.yml", "YAML", 0, 0, 0, 57, 0, 8, 65
"c:\dev\rust\dvd-term\CHANGELOG.md", "Markdown", 0, 26, 0, 0, 0, 22, 48
"c:\dev\rust\dvd-term\CODE_OF_CONDUCT.md", "Markdown", 0, 2, 0, 0, 0, 2, 4
"c:\dev\rust\dvd-term\CONTRIBUTING.md", "Markdown", 0, 54, 0, 0, 0, 27, 81
"c:\dev\rust\dvd-term\Cargo.lock", "TOML", 0, 0, 398, 0, 2, 55, 455
"c:\dev\rust\dvd-term\Cargo.toml", "TOML", 0, 0, 16, 0, 1, 5, 22
"c:\dev\rust\dvd-term\README.md", "Markdown", 0, 43, 0, 0, 0, 20, 63
"c:\dev\rust\dvd-term\src\app.rs", "Rust", 254, 0, 0, 0, 0, 31, 285
"c:\dev\rust\dvd-term\src\main.rs", "Rust", 91, 0, 0, 0, 0, 17, 108
"c:\dev\rust\dvd-term\src\util\mod.rs", "Rust", 46, 0, 0, 0, 0, 11, 57
"Total", "-", 391, 168, 414, 201, 23, 245, 1442